单位名称,统一社会信用代码,住所,环评工程师数量,主要编制人员数量,当前状态,第1记分周期,第2记分周期,第3记分周期,第4记分周期,第5记分周期
雅安博雅环境科技有限公司,91511800MA6BM6PX3B,四川省-雅安市-经济开发区-滨河东路11号创业孵化园3号楼4层,1,6,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
承德晟耀环境检测技术服务有限公司,91130802MA0DYCR175,河北省-承德市-双桥区-桥东北山（承德市奇峰金属材料商贸有限公司2幢1层107室办公）,1,3,正常公开,1:2021:5,2:2022:0,3:2023:0,4::-,5::-
隆康（天津）环保科技有限公司,91120111MA07DU1L49,天津市-天津市-西青区-李七庄街秀川路10号秀川国际大厦B204,1,0,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
广西掌安科技有限公司,91450103MA5KETTK8Y,广西壮族自治区-南宁市-青秀区-桂雅路16号东盟中央城A区3号楼2303号,1,1,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
河北慕田峪环保建设集团有限公司,91130100667739313D,河北省-石家庄市-桥西区-槐安西路100紫金大厦2011室,1,0,正常公开,1:2020:0,2:2021:0,3:2022:5,4:2023:0,5::-
大连市环境保护有限公司,912102001185116740,辽宁省-大连市-沙河口区-连山街123号B座5楼,1,1,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
山西权发工程设计咨询有限公司,91140200MA0KXTNA23,山西省-大同市-城区-瑞兴大厦南侧12号底商,1,2,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
丽水市尔立环保咨询有限公司,91331102MAC2LJNE86,浙江省-丽水市-莲都区-紫金北路21号,1,1,正常公开,1:2023:0,2::-,3::-,4::-,5::-
山西青沐环保科技有限责任公司,91140107MA0LXY9Q9W,山西省-太原市-杏花岭区-大东关街36号太铁花园北区4-2-2802,1,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
云南中环正浩环境科技有限公司,91530100MA6K8WRRXR,云南省-昆明市-经济技术开发区-洛羊街道办事处建工新城锦绣园3组团6幢1005室,1,0,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
广东港灯生态环境工程有限责任公司,91441403MA5750K15J,广东省-梅州市-梅县区-梅州市梅县区程江镇扶贵村五洲花园A区A3栋6号复式店,1,1,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
四川中联智企业管理咨询有限公司,91510100MA61RXRG9N,四川省-成都市-高新区-天府二街166号3幢20层04号,1,0,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
中冶地集团西北岩土工程有限公司,91610000220905899Q,陕西省-西安市-雁塔区-长安南路491号,1,3,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
宁波青益生态科技有限公司,91330212MACA0NQF9L,浙江省-宁波市-鄞州区-潘火街道金谷中路（东）9号1号楼2楼213室,1,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
四川省祥龙宇翔环保科技有限公司,91510108MACCBNQ16E,四川省-成都市-成华区-二仙桥北路584号附315号3层,1,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
河源鑫灏源生态科技发展有限公司,91441625MA54P16A9F,广东省-河源市-源城区-越王大道东华侨城商住小区统建房南起1栋第4卡商铺,1,0,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
山东省建筑工程质量检验检测中心有限公司,91370000MA3PXR5E55,山东省-济南市-天桥区-山东省济南市天桥区无影山路29号检测大楼,1,2,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
唐山精言环境科技有限公司,91130282MA7AFWP74N,河北省-唐山市-丰南区-国文路10号,1,4,正常公开,1:2023:0,2::-,3::-,4::-,5::-
重庆博雅工程项目咨询事务所,91500242595185285C,重庆市-重庆市-酉阳土家族苗族自治县-重庆市酉阳县板溪镇金园大道58号A-385地块（重庆桃花源经济园区）,1,0,正常公开,1:2021:0,2:2022:2,3:2023:0,4::-,5::-
龙岩电力勘察设计院有限公司,9135080077752732XT,福建省-龙岩市-新罗区-龙岩市新罗区九一南路45号,1,0,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
安徽中贞环境工程技术有限公司,91341503MA2UGWJE8J,安徽省-六安市-市辖区-安徽省六安市裕安区高新技术产业开发区双创大厦7008、7009,1,2,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
广东源创环境技术有限公司,914401160658371437,广东省-广州市-黄埔区-联和街道揽月路80号广州科技创新基地D区第4层427-429单元,1,0,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
北京晟际欧咨询服务有限公司,91110102MA01Y1G832,北京市-北京市-西城区-白广路4、6号幢二层207,1,0,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
大连世达特环保科技有限公司,91210231588073672J,辽宁省-大连市-西岗区-新开路99号13层2号,1,2,正常公开,1:2020:0,2:2021:0,3:2022:5,4:2023:0,5:2024:0
包头市环润环保投资有限责任公司,91150200MA0R81HC4B,内蒙古自治区-包头市-九原区-金创总部经济园金创大厦16楼,1,1,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
河南锦沐环保科技有限公司,91410400MA9NHB0M79,河南省-平顶山市-新城区-长安大道与未来路东南蓝湾新城1号楼1单元804室,1,6,正常公开,1:2023:0,2::-,3::-,4::-,5::-
北京碧天鸿瑞科技有限公司,91110105074189483W,北京市-北京市-朝阳区-北京市朝阳区樱花园28号楼,1,2,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
马鞍山春涧环境科技有限公司,91340500MA8NAX250Y,安徽省-马鞍山市-雨山区-深业华府66栋203室,1,1,正常公开,1:2023:0,2::-,3::-,4::-,5::-
武汉流域水生环境科技有限公司,91420111MA49G92E1N,湖北省-武汉市-洪山区-洪山区文治街维佳点点大厦1809室,1,4,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
天津惟精惟一环境咨询有限公司,91120116MA05NMW517,天津市-天津市-滨海高新区-华苑产业区工华道壹号D座2门1101、1102、1103、1104、1105（入驻天津清联网络孵化器有限公司）,1,1,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
山东杰源环保科技有限公司,91370102MA3PFC4Y3H,山东省-济南市-历城区-二环东路3966号东环国际广场A座703室,1,1,正常公开,1:2023:0,2::-,3::-,4::-,5::-
浙江瀛海环境保护工程有限公司,913301036739954442,浙江省-杭州市-下城区-费家塘路588号11幢4层407室,1,2,正常公开,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
西北综合勘察设计研究院,916100004352021628,陕西省-西安市-莲湖区-习武园9号,1,8,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
甘肃普晖环境工程有限公司,91621002MA73T91W3R,甘肃省-庆阳市-西峰区-岐黄大道1号东方丽晶贸A栋1403室,1,1,正常公开,1:2021:3,2:2022:0,3:2023:0,4::-,5::-
广东核协检测服务有限公司,91440101MA5CKC9G7N,广东省-广州市-天河区-粤垦路68号1601房,1,4,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
铁岭市馨润环保咨询有限公司,91211202MABLLERU60,辽宁省-铁岭市-银州区-铁西街19委纸袋厂9号楼1-602,1,2,正常公开,1:2022:21,2:2023:24,3:2023:19,4::-,5::-
湖北金泉环保科技有限责任公司,91421202MA493J1T4K,湖北省-咸宁市-咸安区-金桂路52号,1,2,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
辽宁鸿志源环境技术服务有限公司,91211100MA0YGD7G6U,辽宁省-盘锦市-辽东湾新区-创业孵化中心218-157室,1,6,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
天津信易达环保咨询服务有限公司,91120111MA05RDKU7J,天津市-天津市-武清区-杨村街道泉兴路4号,1,0,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
邢台益有元亨工程管理有限公司,91130530MACYD48D92,河北省-邢台市-新河县-和谐路北侧、新兴街西侧、国龙电缆东侧,1,1,正常公开,1:2023:0,2::-,3::-,4::-,5::-
山东典石项目管理有限公司,91370303MACW34GR8N,山东省-淄博市-张店区-柳泉路金达大厦718,1,4,正常公开,1:2023:0,2::-,3::-,4::-,5::-
黑龙江辰顺检测科技有限公司,91230103MAC7912U51,黑龙江省-哈尔滨市-南岗区-学府路68号黑大科技园303室,1,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
甘肃扬凡中升环保咨询有限公司,91620602MA74KU9T9Q,甘肃省-武威市-凉州区-学府路星乐汇2号楼10层1007号,1,0,正常公开,1:2023:0,2::-,3::-,4::-,5::-
菏泽朝泰环境科技有限公司,91371700MA3EK4C016,山东省-菏泽市-牡丹区-太原路98号永泰大厦1715室,1,0,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
黑龙江省立净环保工程有限公司,91230110MA1BDDJM6Q,黑龙江省-哈尔滨市-香坊区-红旗大街与香坊大街交口第7栋1单元13层1302号房（公寓）,1,3,正常公开,1:2020:0,2:2021:8,3:2022:0,4:2023:0,5::-
重庆渝长环保科技有限公司,91500115MAAC3THT76,重庆市-重庆市-长寿区-重庆市长寿区新市街道新民路6号办公楼,1,0,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
山西转型综改示范区清阳联合环保服务科技有限公司,91149900MA0KAYY41L,山西省-太原市-山西转型综改示范区-太原唐槐园区武洛街7号b座化验楼1004号,1,0,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
北京泽邦煤科环保科技研究院有限公司,91110114MA020N0B1J,北京市-北京市-昌平区-东小口镇天通中苑二区21号楼2层1077,1,0,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
青岛国海浩瀚海洋工程咨询有限公司,91370212MA3CJWK95A,山东省-青岛市-崂山区-株洲路88号海信财智谷1号楼1203B,1,6,正常公开,1:2019:0,2:2020:2,3:2021:0,4:2022:0,5:2023:0
国环（广东）生态科技有限公司,91440106MA59DAPX1L,广东省-广州市-海珠区-昌岗中路238号1215房,1,1,正常公开,1:2022:0,2:2023:0,3:2024:0,4::-,5::-
昆明龙慧工程设计咨询有限公司,915301007755224961,云南省-昆明市-经济技术开发区-洛羊街道办大洛羊社区信息产业基地13-2号海归创业园1栋5楼530、532号,1,14,正常公开,1:2023:0,2:2024:0,3::-,4::-,5::-
宁夏合吉顺生态环境有限公司,91640105MA75W0BB9K,宁夏回族自治区-银川市-金凤区-满城南街与长城中路交汇处福满苑4号楼2单元401室及阁楼(自主申报),1,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
陕西延之州工程咨询有限公司,91610131MAC4JP2N5W,陕西省-西安市-高新技术产业开发区-西安市高新区唐延路旺座现代城F座903室,1,4,正常公开,1:2023:0,2:2024:0,3::-,4::-,5::-
陕西昊汉环境科技有限公司,91610100333756519D,陕西省-西安市-雁塔区-罗家寨90号5-1号,1,2,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
云南锦霖环境科技有限公司,91530100MAC6RENJ1W,云南省-昆明市-滇池国家旅游度假区-华都花园二期20幢3单元1301号,1,0,正常公开,1:2023:0,2::-,3::-,4::-,5::-
四川格律环保科技有限公司,91510603MAACL9EB4N,四川省-德阳市-市辖区-辽河街40号冶轴文创园7号楼7-208,1,1,正常公开,1:2023:0,2::-,3::-,4::-,5::-
唐山奥米卡科技有限公司,91130223MA7F2QXM57,河北省-唐山市-滦县-滦城街道办事处平青北路6号12层1210,1,3,正常公开,1:2022:0,2::-,3::-,4::-,5::-
武汉众一环保科技有限公司,91420111MA49HY9F8L,湖北省-武汉市-洪山区-书城路26号洪山科技创业中心B栋612,1,0,正常公开,1:2021:0,2:2022:8,3:2023:0,4::-,5::-
赤峰安环技术咨询有限公司,91150404096707069U,内蒙古自治区-赤峰市-红山区-小新地组团金融一街南、学院北路北、金融一路东金石矿业广场1-1-1-1805,1,0,正常公开,1:2023:0,2:2024:0,3::-,4::-,5::-
广西环济技术咨询有限公司,91450100MA5QBCD3XT,广西壮族自治区-南宁市-青秀区-东葛路118号南宁青秀万达广场东3栋二十二层2202号房,1,1,正常公开,1:2023:0,2::-,3::-,4::-,5::-
广州市湃森环境咨询服务有限公司,91440101MA59RT043N,广东省-广州市-黄埔区-敏盛街6号1103房,1,4,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
岳阳市优源环保工程有限公司,91430600MA4LLBXG9L,湖南省-岳阳市-岳阳楼区-湖南省岳阳市岳阳楼区古井社区古井组1号4楼,1,3,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
四川万方和工程咨询有限公司,91510100092834095Y,四川省-成都市-高新区-肖家河中街44号9幢1层,1,4,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
山东国鑫环境科学研究院有限公司,91371400MA3UUXB971,山东省-德州市-德城区-天衢街道办事处新湖北路22号办公楼201室,1,5,正常公开,1:2021:0,2:2022:0,3:2023:5,4::-,5::-
北京圣洁英博环境工程有限公司,91110102MA001JXJXE,北京市-北京市-朝阳区-北京市朝阳区北苑路34号,1,2,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
唐山俊才环境科技有限公司,91130203MA0FTJJ01T,河北省-唐山市-路北区-融融商务中心综合楼3-02号,1,2,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
陕西利新环保科技有限公司,91610824MA703B313J,陕西省-榆林市-靖边县-统万路县委城建家属院7号楼2单元402室,1,0,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
吉林省普爱津科技有限公司,91220100MACDN66A2M,吉林省-长春市-长春高新区-长春市高新开发区硅谷西街与佳园路交汇处帝豪巴赫丽舍6栋1602号,1,0,正常公开,1:2023:0,2::-,3::-,4::-,5::-
四川川利全过程工程咨询有限公司,91510800MABY53KX0D,四川省-广元市-利州区-万源新区广电中心南侧、市政务中心西侧恒业锦城三期13栋5-12,1,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
福建安成环保科技有限公司,91350103MACF8L0R4M,福建省-福州市-台江区-荷泽巷32-1号6号楼3B-1室,1,0,正常公开,1:2023:0,2::-,3::-,4::-,5::-
沈阳鸿嘉生态环境咨询有限公司,91210102MACLKD9E47,辽宁省-沈阳市-和平区-北市一街7号F5-C2252房间,1,0,正常公开,1:2023:0,2::-,3::-,4::-,5::-
洛阳启帆环保科技有限公司,91410307MA9FT1AJ7A,河南省-洛阳市-洛龙区-永泰街179号建业龙城9幢1203,1,1,正常公开,1:2023:0,2::-,3::-,4::-,5::-
肇庆鼎环生态环境科技有限公司,91441283MAC8R24Q74,广东省-肇庆市-高要区-金渡镇世纪大道8号之一生生粮食加工厂综合楼二楼第五卡,1,0,正常公开,1:2023:2,2::-,3::-,4::-,5::-
江西波罗蜜环保科技有限公司,91361102MACKK8QJ91,江西省-上饶市-信州区-滨江西路66号1、2、3、5幢2＃607,1,0,正常公开,1:2023:0,2::-,3::-,4::-,5::-
惠州市六一环境科技有限公司,91441302MA568NRH9H,广东省-惠州市-惠城区-华贸中心7号楼703房,1,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
赤壁市工程咨询评估有限公司,91421281MA49F5NJXC,湖北省-咸宁市-赤壁市-湖北省咸宁市赤壁市赤马港河大道152号,1,1,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
中国市政工程华北设计研究总院有限公司,911200004013602422,天津市-天津市-河西区-气象台路99号,9,6,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江西盛嘉技术咨询服务有限公司,91360108314763502Y,江西省-南昌市-青山湖区-上坊路382号江西省科学院综合楼906-909室。,3,9,正常公开,1:2021:5,2:2022:0,3:2023:0,4::-,5::-
漯河锦润环境科技有限公司,91411103MA46UG8WXK,河南省-漯河市-郾城区-河南省漯河市郾城区嵩山路沙田锦绣天地19＃楼19幢1908号,3,6,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
湖北景宜环保科技有限公司,91421300326026702N,湖北省-随州市-曾都区-随州市西城双龙寺清河路南综合楼2楼,3,5,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
广西南咨环境技术有限公司,91450103MA5K98Q51N,广西壮族自治区-南宁市-青秀区-建政路10号综合大楼第三层南侧办公室,3,10,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
大连市润环环保产业基地管理有限公司,91210211MA0U6W215T,辽宁省-大连市-甘井子区-金新路1号,3,7,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
山东省分析测试中心,123700004955406069,山东省-济南市-历下区-科院路19号,3,2,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
交通运输部长江航务管理局环境监测中心站,124200007775927705,湖北省-武汉市-江岸区-解放大道1262号,3,3,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
河南莱嘉环境技术有限公司,91410105MACCQ57Q21,河南省-郑州市-金水区-河南省郑州市金水区经三路北32号财富广场1号楼18层196号,3,2,正常公开,1:2023:0,2::-,3::-,4::-,5::-
吉林恒升环境科技有限公司,91220211MA172QEG7F,吉林省-吉林市-丰满区-滨江东路1号江南壹号花园B5号楼2号网点,2,5,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
四川兴环科环保技术有限公司,91510700MA624BPK4U,四川省-绵阳市-科技城科教创业园区-创新中心3号楼217室,2,12,正常公开,1:2019:2,2:2020:5,3:2021:5,4:2022:0,5:2023:0
江苏博晟环境科技有限公司,91320115MA25L7RC9W,江苏省-南京市-江宁区-秣陵街道秣周东路12号R403（实际办公地址：南京市江宁区南京南站城际空间站H1-301室）,2,8,守信名单,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
柯麦龙科技（温州）有限公司,91330303MA2L3XMD2M,浙江省-温州市-龙湾区-永中街道永中西路1158号金属大厦907室,2,5,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
河南青水环境科技有限公司,91410611MA442LMF98,河南省-鹤壁市-经济技术开发区-延河路228号,2,9,正常公开,1:2019:0,2:2020:0,3:2021:2,4:2022:5,5:2023:5
河南洁达环保投资有限公司,914113035724587039,河南省-南阳市-宛城区-溧河乡涧河西路836号,2,6,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
苏神环境技术（上海）有限公司,91310117MA1J1M9RXK,上海市-上海市-闵行区-新龙路1333弄66号520室,2,0,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
安徽泰飞技术服务有限公司,91340103MA2W933300,安徽省-合肥市-庐阳区-工投创智天地产业园A16栋4楼,2,6,守信名单,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
四川中环康源卫生技术服务有限公司,91510100782288124U,四川省-成都市-高新区-成都高新区科园南路5号,2,11,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
扬州市兴创环境科技有限公司,91321002MA1XMJGJ88,江苏省-扬州市-广陵区-创新中心A座9层,2,10,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
辽宁中咨华宇环保技术有限公司,9121010456469129XW,辽宁省-沈阳市-浑南区-中国（辽宁）自由贸易试验区沈阳片区创新二路39-1号606室,2,12,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
四川立明环创环保科技有限公司,91510600MA64CRFY4W,四川省-德阳市-市辖区-蓥华南路一段80号滨湖之春3栋3-38-2号,2,3,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
河南启新环保科技有限公司,91410400MA4846F56Y,河南省-平顶山市-新华区-湖滨路街道长安大道蓝湾国际大厦东二单元14楼南户,2,2,正常公开,1:2020:0,2:2021:5,3:2022:0,4:2023:0,5::-
云南天礴环保服务有限公司,91530100MA6PB6A19G,云南省-昆明市-官渡区-春城路290号33栋,2,9,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
乌鲁木齐星辰汇峰环保科技有限公司,91650102091944073Y,新疆维吾尔自治区-乌鲁木齐市-天山区-新疆乌鲁木齐市天山区光华路中巷3号1栋1单元13室,2,9,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
三明市闽环国投环保有限公司,91350400MA344XP66W,福建省-三明市-三元区-新市中路395号三明市电子商务创业培训中心9楼,2,13,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
